User-ID,ISBN,Book-Rating
276747,0060517794,9
276755,0451166892,5
276788,0345443683,8
276788,043935806X,7
276804,0440498058,8
276811,0440414121,10
276822,0060096195,10
276822,0375821813,9
276822,038076041X,10
276828,2253150711,7
276830,0440225825,9
276837,0380005239,5
276847,3423071516,10
276847,3442441080,10
276847,3442446414,10
276847,347354034X,7
276847,3551551677,10
276847,3551551685,10
276847,3551551693,10
276847,3551551936,10
276847,359621078X,9
276847,360893541X,10
276847,3608935428,10
276847,3608935436,10
276859,0836218833,10
276859,0836220889,10
276861,3423201509,10
276861,360893541X,9
276861,3608935428,9
276861,3608935436,9
276866,3404139178,9
276875,8817106100,6
276887,0064430227,5
276887,0812533550,9
276904,0440414121,10
276911,8420636282,9
276925,002542730X,10
276925,0385504209,8
276925,950491036X,10
276928,059030271X,5
276939,2253063339,9
276953,0446310786,10
276954,3423118709,10
276957,0312966970,6
276964,0345348672,10
276964,0886774802,8
276964,0886774829,8
276964,0886775426,9
276984,0590442996,10
276986,0060930187,10
276986,0689817851,10
276988,0671793489,8
276998,0618045996,8
277012,0892964456,10
277036,0812511816,9
277036,0880381736,9
277036,0880381744,10
277042,0446605484,7
277051,0330262130,10
277051,0385720920,10
277072,1573229571,9
277094,0064404773,10
277107,081297106X,10
277109,0751503894,5
277124,0425189864,9
277143,031286504X,10
277143,0345342968,9
277143,0767903382,8
277157,0399151451,7
277157,074320607X,7
277168,0671032658,4
277171,0486282406,10
277171,0804102511,9
277179,0440414806,10
277195,0060391626,10
277195,055326611X,10
277195,0553379615,10
277195,0671021001,10
277195,0671647458,10
277203,030700645X,8
277203,039480001X,9
277203,0394800028,9
277203,0394800184,9
277203,039480029X,8
277203,0590629719,10
277203,087701759X,10
277205,0671664964,7
277229,0312282990,7
277230,037541309X,7
277230,0826308791,5
277235,014029628X,6
277243,0449005909,8
277246,0452282152,10
277253,0380807343,9
277265,0615116426,10
277317,1561840564,9
277363,0156027321,8
277378,0312195516,7
277378,0446608955,4
277378,0804114986,5
277427,002542730X,10
277427,0061009059,9
277427,0152050167,10
277427,0316776963,8
277427,0345413903,10
277427,0375751513,9
277427,0380702843,8
277427,0380791978,9
277427,0385486804,9
277427,0385503857,9
277427,0385504209,8
277427,039304016X,8
277427,0399501487,9
277427,0425190749,7
277427,0440224764,7
277427,0440236738,9
277427,0440428130,8
277427,0441627404,10
277427,0446350982,9
277427,0446676640,8
277427,0451191153,8
277427,0452284449,6
277427,0553280368,9
277427,0553571656,10
277427,0553573926,10
277427,0679417648,10
277427,0679731148,9
277427,0740723367,9
277427,0743444477,9
277427,0767903382,10
277427,0786866845,10
277427,0811802981,10
277427,0811811409,10
277427,0836217691,10
277427,0836218515,10
277427,0836218817,10
277427,0836221192,10
277427,0836221311,8
277427,0836236688,10
277427,0890876517,10
277427,1576733343,10
277436,0590629808,10
277439,0316666343,7
277439,0399149821,7
277439,0671027360,7
277444,0849908647,9
277462,0312195516,10
277466,0380718340,7
277466,0553571885,8
277469,0553572997,9
277471,3596200261,10
277474,014038572X,5
277478,0312113420,7
277478,0312979533,7
277478,1558745718,8
277506,0553148001,10
277509,1400030382,9
277517,0452282152,8
277517,0553272586,10
277523,0312289723,10
277523,0316603570,10
277523,0316693200,10
277523,0385510438,10
277523,039915180X,10
277523,0399151877,10
277523,0553803409,10
277523,0684835983,10
277523,0743206045,10
277523,1558744150,10
277527,0316777722,10
277527,0374516812,10
277527,0679723161,8
277529,0064400557,8
277556,0345318587,10
277562,0140043519,9
277575,0142004235,5
277575,0446608262,9
277619,0618002219,8
277622,0671025368,10
277623,002542730X,5
277623,0028604199,9
277623,0140340203,9
277623,1400031346,8
277623,1400031354,8
277629,0380018179,8
277639,0440211727,8
277647,067976397X,8
277648,0679745580,8
277696,0449208281,9
277710,0425192032,9
277710,0446611638,5
277710,0553582763,6
277711,1573227889,10
277712,8817106100,9
277722,0449005615,10
277722,0804114986,8
277740,185326086X,10
277743,0446310786,9
277744,0345339681,3
